,duration_bin,games_played,wins,hero_id
246,4200,42,21,12
247,6600,2,0,12
248,4500,24,14,12
249,1200,1134,506,12
250,2700,816,428,12
251,5100,8,3,12
252,2100,1778,872,12
253,5400,2,1,12
254,900,411,168,12
255,6300,1,0,12
256,600,103,39,12
257,2400,1320,649,12
258,3600,175,76,12
259,1500,1715,838,12
260,4800,22,17,12
261,5700,2,1,13
262,3300,643,319,13
263,7500,1,0,13
264,1800,5416,2604,13
265,3900,168,87,13
266,300,38,22,13
267,6000,2,1,13
268,3000,1255,617,13
269,4200,82,42,13
270,6600,1,1,13
271,4500,29,13,13
272,1200,2662,1352,13
273,2700,1823,937,13
274,5100,9,5,13
275,6900,1,1,13
276,2100,4301,2094,13
277,5400,4,3,13
278,900,1012,532,13
279,6300,1,0,13
280,12000,1,0,13
281,600,281,146,13
282,2400,3024,1504,13
283,3600,331,178,13
284,1500,4530,2229,13
285,4800,23,14,13
286,5700,2,1,14
287,3300,152,73,14
288,1800,2514,1232,14
289,3900,38,28,14
290,300,24,10,14
291,3000,344,166,14
292,4200,24,7,14
293,4500,9,6,14
294,1200,1471,726,14
295,2700,481,236,14
296,5100,2,0,14
297,2100,1594,778,14
298,5400,1,0,14
299,900,483,225,14
300,6300,1,0,14
301,600,117,67,14
302,2400,1001,488,14
303,3600,57,34,14
304,1500,2405,1224,14
305,4800,2,0,14
306,5700,3,1,15
307,3300,447,214,15
308,1800,3136,1521,15
309,3900,101,55,15
310,300,24,11,15
311,6000,2,1,15
312,3000,786,367,15
313,4200,62,28,15
314,6600,2,0,15
315,7800,1,0,15
316,4500,34,17,15
317,1200,1792,879,15
318,2700,1225,620,15
319,5100,6,1,15
320,2100,2646,1340,15
321,5400,5,3,15
322,900,714,394,15
323,600,211,122,15
324,2400,2045,1058,15
325,3600,226,103,15
326,1500,2667,1302,15
327,4800,17,4,15
328,5700,4,0,16
329,3300,523,286,16
330,7500,1,1,16
331,1800,3932,1891,16
332,3900,144,66,16
333,300,36,17,16
334,6000,2,2,16
335,7200,1,1,16
336,3000,998,494,16
337,4200,93,40,16
338,6600,1,0,16
339,4500,34,22,16
340,1200,2084,988,16
341,2700,1490,704,16
342,5100,7,5,16
343,2100,3268,1533,16
344,5400,5,1,16
345,900,772,357,16
346,600,196,83,16
347,2400,2350,1137,16
348,3600,291,143,16
349,1500,3395,1708,16
350,4800,13,7,16
351,5700,2,0,17
352,3300,474,245,17
353,1800,4166,2093,17
354,3900,119,64,17
355,300,31,15,17
356,3000,963,498,17
357,4200,69,40,17
358,6600,1,1,17
359,4500,31,21,17
360,1200,2182,1051,17
361,2700,1466,752,17
362,5100,11,4,17
363,6900,1,1,17
364,2100,3329,1637,17
365,5400,4,0,17
366,900,748,342,17
367,600,179,62,17
368,2400,2327,1207,17
369,3600,243,141,17
370,1500,3607,1746,17
371,4800,23,10,17
372,5700,3,2,18
373,3300,292,138,18
374,1800,2967,1529,18
375,3900,84,42,18
376,300,15,6,18
377,3000,585,273,18
378,4200,46,24,18
379,6600,1,1,18
380,4500,17,11,18
381,1200,1559,697,18
382,2700,883,448,18
383,5100,7,3,18
384,2100,2235,1184,18
385,5400,4,1,18
386,900,570,256,18
387,6300,1,0,18
388,600,113,50,18
389,2400,1461,779,18
390,3600,143,73,18
391,1500,2669,1293,18
392,4800,7,3,18
393,5700,2,0,19
394,3300,589,265,19
395,1800,6610,3245,19
396,3900,146,75,19
397,300,36,22,19
398,6000,2,1,19
399,7200,1,0,19
400,3000,1302,602,19
401,4200,88,35,19
402,7800,1,0,19
403,4500,28,15,19
404,1200,3385,1773,19
405,2700,1866,898,19
406,5100,11,7,19
407,2100,4865,2317,19
408,5400,4,3,19
409,900,1090,634,19
410,6300,1,1,19
411,600,220,132,19
412,2400,3508,1612,19
413,3600,275,136,19
414,1500,5705,2931,19
415,4800,20,9,19
416,5700,6,4,20
417,3300,629,314,20
418,1800,4774,2412,20
419,3900,149,55,20
420,300,54,26,20
421,6000,2,2,20
422,7200,3,2,20
423,3000,1067,535,20
424,4200,79,30,20
425,4500,37,17,20
426,1200,2996,1593,20
427,2700,1525,785,20
428,5100,9,5,20
429,2100,3611,1837,20
430,5400,5,1,20
431,900,1331,695,20
432,6300,3,2,20
433,600,346,177,20
434,2400,2629,1358,20
435,3600,324,156,20
436,1500,4427,2219,20
437,4800,25,13,20
438,5700,3,1,21
439,3300,386,187,21
440,1800,3699,1820,21
441,3900,88,51,21
442,300,27,15,21
443,6000,1,0,21
444,3000,715,365,21
445,4200,44,19,21
446,4500,16,5,21
447,1200,1991,884,21
448,2700,1091,537,21
449,5100,10,2,21
450,2100,2765,1338,21
451,5400,4,2,21
452,900,698,295,21
453,6300,1,1,21
454,600,179,83,21
455,2400,1795,905,21
456,3600,227,120,21
457,1500,3334,1555,21
458,4800,18,8,21
459,5700,4,1,22
460,3300,339,180,22
461,1800,2711,1357,22
462,3900,88,42,22
463,300,21,7,22
464,7200,1,1,22
465,3000,614,333,22
466,4200,65,35,22
467,4500,44,15,22
468,1200,1286,558,22
469,2700,848,419,22
470,5100,12,6,22
471,2100,1946,989,22
472,5400,8,1,22
473,900,400,160,22
474,6300,2,2,22
475,12000,1,1,22
476,600,118,47,22
477,2400,1469,750,22
478,3600,184,97,22
479,1500,2276,1109,22
480,4800,21,12,22
481,5700,1,0,23
482,3300,397,185,23
483,1800,3857,1902,23
484,3900,120,64,23
485,300,31,18,23
486,3000,827,419,23
487,4200,55,30,23
488,6600,2,0,23
489,4500,40,20,23
490,1200,2018,1046,23
491,2700,1168,562,23
492,5100,9,2,23
493,2100,2907,1478,23
494,5400,3,1,23
495,900,671,335,23
496,6300,2,1,23
497,600,173,76,23
498,2400,2221,1082,23
499,3600,229,106,23
500,1500,3180,1640,23
501,4800,17,9,23
502,5700,4,3,25
503,3300,520,256,25
504,1800,5082,2522,25
505,3900,145,73,25
506,300,54,30,25
507,6000,3,1,25
508,7200,1,1,25
509,3000,1039,494,25
510,4200,87,40,25
511,4500,34,21,25
512,1200,2475,1180,25
513,2700,1524,744,25
514,5100,18,9,25
515,6900,1,0,25
516,2100,3812,1849,25
517,5400,4,2,25
518,900,830,414,25
519,6300,1,0,25
520,600,245,117,25
521,2400,2776,1368,25
522,3600,276,119,25
523,1500,4403,2173,25
524,4800,23,9,25
525,5700,4,3,26
526,3300,565,278,26
527,1800,4302,2083,26
528,3900,146,71,26
529,300,52,20,26
530,6000,3,1,26
531,3000,995,470,26
532,4200,94,46,26
533,4500,29,17,26
534,1200,2286,921,26
535,2700,1513,752,26
536,5100,8,1,26
537,2100,3256,1606,26
538,5400,5,3,26
539,900,928,327,26
540,6300,3,2,26
541,600,263,77,26
542,2400,2449,1263,26
543,3600,313,141,26
544,1500,3797,1768,26
545,4800,25,12,26
546,3300,313,148,27
547,1800,2974,1470,27
548,3900,59,29,27
549,300,33,12,27
550,6000,1,1,27
551,3000,609,323,27
552,4200,30,14,27
553,4500,13,6,27
554,1200,2065,1026,27
555,2700,957,508,27
556,5100,4,2,27
557,2100,2195,1130,27
558,5400,1,1,27
559,900,1011,488,27
560,600,258,120,27
561,2400,1576,766,27
562,3600,160,82,27
563,1500,2943,1474,27
564,4800,7,4,27
565,3300,328,178,28
566,1800,3133,1600,28
567,3900,84,48,28
568,300,29,14,28
569,6000,3,2,28
570,7200,2,0,28
571,3000,670,366,28
572,4200,56,27,28
573,4500,22,7,28
574,1200,1956,933,28
575,2700,978,512,28
576,5100,6,2,28
577,2100,2312,1204,28
578,5400,1,0,28
579,900,756,363,28
580,6300,2,1,28
581,600,187,79,28
582,2400,1599,872,28
583,3600,203,93,28
584,1500,2902,1476,28
585,4800,14,9,28
586,5700,2,1,29
587,3300,473,231,29
588,1800,3524,1777,29
589,3900,126,54,29
590,300,34,11,29
591,6000,1,1,29
592,3000,901,438,29
593,4200,62,30,29
594,4500,29,14,29
595,1200,2155,993,29
596,2700,1276,652,29
597,5100,13,4,29
598,2100,2880,1447,29
599,5400,3,2,29
600,900,843,357,29
601,6300,2,2,29
602,600,194,85,29
603,2400,2115,1059,29
604,3600,229,122,29
605,1500,3177,1528,29
606,4800,14,7,29
607,5700,2,2,30
608,3300,441,231,30
